Step,Action,Reward,Done,Step_Count,Checkin,Security,Boarding,Services_to_be_Switched,Wait_Checkin_Queue,Buffer_Checkin_to_Security,Wait_Security_Queue,Buffer_Security_to_Boarding,Wait_Boarding_Queue,Reward_R1
1,0,-0.0010992795083704175,False,1.0,146.0,21.0,63.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0
2,0,-0.0011390125026488663,False,2.0,146.0,21.0,63.0,0.0,86.0,83.0,0.0,0.0,0.0,0.0
3,0,-0.0020793600339054884,False,3.0,146.0,21.0,63.0,0.0,124.0,113.0,33.0,0.0,0.0,0.0
4,0,-0.0023972239881330792,False,4.0,146.0,21.0,63.0,0.0,129.0,144.0,52.0,33.0,0.0,0.0
5,0,-0.0032845941936851027,False,5.0,146.0,21.0,63.0,0.0,167.0,141.0,66.0,70.0,15.0,0.0
6,0,0.020101111010201917,False,6.0,146.0,21.0,63.0,0.0,163.0,153.0,74.0,90.0,43.0,15.0
7,0,0.06396280487189578,False,7.0,146.0,21.0,63.0,0.0,182.0,139.0,88.0,99.0,54.0,43.0
8,0,0.0809860593951503,False,8.0,146.0,21.0,63.0,0.0,202.0,160.0,87.0,94.0,68.0,54.0
9,0,0.10279770734316189,False,9.0,146.0,21.0,63.0,0.0,224.0,149.0,98.0,91.0,66.0,68.0
10,0,0.09943768352859263,False,10.0,146.0,21.0,63.0,0.0,223.0,153.0,114.0,89.0,65.0,66.0
11,0,0.09749278499278499,False,11.0,146.0,21.0,63.0,0.0,244.0,143.0,124.0,91.0,61.0,65.0
12,0,0.09090518067790795,False,12.0,146.0,21.0,63.0,0.0,251.0,149.0,138.0,96.0,58.0,61.0
13,0,0.08558701399610491,False,13.0,146.0,21.0,63.0,0.0,283.0,141.0,146.0,99.0,60.0,58.0
14,0,0.08825833257651439,False,14.0,146.0,21.0,63.0,0.0,304.0,153.0,154.0,93.0,69.0,60.0
15,0,0.1020672509308873,False,15.0,146.0,21.0,63.0,0.0,328.0,138.0,169.0,90.0,66.0,69.0
16,0,0.09738481215753943,False,16.0,146.0,21.0,63.0,0.0,326.0,155.0,172.0,94.0,59.0,66.0
17,0,0.08570419479510388,False,17.0,146.0,21.0,63.0,0.0,352.0,141.0,186.0,95.0,62.0,59.0
18,0,0.09006876961422416,False,18.0,146.0,21.0,63.0,0.0,366.0,146.0,201.0,95.0,63.0,62.0
19,0,0.09131171858444587,False,19.0,146.0,21.0,63.0,0.0,392.0,149.0,198.0,92.0,66.0,63.0
20,0,0.09599415735779372,False,20.0,146.0,21.0,63.0,0.0,401.0,165.0,202.0,96.0,59.0,66.0
21,0,0.08422082967537513,False,21.0,146.0,21.0,63.0,0.0,427.0,144.0,223.0,97.0,62.0,59.0
22,0,0.0884264725173816,False,22.0,146.0,21.0,63.0,0.0,449.0,145.0,242.0,97.0,63.0,62.0
23,0,0.08955022250476796,False,23.0,146.0,21.0,63.0,0.0,471.0,131.0,256.0,98.0,62.0,63.0
24,0,0.08796292091746637,False,24.0,146.0,21.0,63.0,0.0,461.0,146.0,261.0,94.0,67.0,62.0
25,0,0.09571400821400822,False,25.0,146.0,21.0,63.0,0.0,482.0,141.0,266.0,102.0,55.0,67.0
26,0,0.07652070152070152,False,26.0,146.0,21.0,63.0,0.0,482.0,166.0,261.0,94.0,71.0,55.0
27,0,0.10145397531761169,False,27.0,146.0,21.0,63.0,0.0,501.0,141.0,286.0,95.0,62.0,71.0
28,0,0.08700932905478359,False,28.0,146.0,21.0,63.0,0.0,512.0,155.0,292.0,101.0,57.0,62.0
29,0,0.07829140556413283,False,29.0,146.0,21.0,63.0,0.0,550.0,150.0,297.0,91.0,73.0,57.0
30,0,0.10350281032099215,False,30.0,146.0,21.0,63.0,0.0,571.0,158.0,309.0,100.0,54.0,73.0
31,0,0.07249644295098841,False,31.0,146.0,21.0,63.0,0.0,596.0,134.0,333.0,94.0,69.0,54.0
32,0,0.09646489873762601,False,32.0,146.0,21.0,63.0,0.0,602.0,164.0,323.0,96.0,61.0,69.0
33,0,0.08302480347934893,False,33.0,146.0,21.0,63.0,0.0,628.0,146.0,341.0,86.0,73.0,61.0
34,0,0.10231082049263868,False,34.0,146.0,21.0,63.0,0.0,621.0,154.0,353.0,99.0,50.0,73.0
35,0,0.06474333747061019,False,35.0,146.0,21.0,63.0,0.0,667.0,140.0,367.0,92.0,70.0,50.0
36,0,0.09647612488521579,False,36.0,146.0,21.0,63.0,0.0,674.0,153.0,374.0,98.0,57.0,70.0
37,0,0.07516574334756153,False,37.0,146.0,21.0,63.0,0.0,702.0,136.0,391.0,98.0,63.0,57.0
38,0,0.08453062089425727,False,38.0,146.0,21.0,63.0,0.0,707.0,151.0,396.0,96.0,65.0,63.0
39,0,0.08688407552043916,False,39.0,146.0,21.0,63.0,0.0,752.0,139.0,408.0,89.0,70.0,65.0
40,0,0.09496627110263473,False,40.0,146.0,21.0,63.0,0.0,749.0,150.0,417.0,99.0,53.0,70.0
41,0,0.06706828525010344,False,41.0,146.0,21.0,63.0,0.0,786.0,133.0,434.0,94.0,68.0,53.0
42,0,0.0907850987396442,False,42.0,146.0,21.0,63.0,0.0,802.0,157.0,430.0,94.0,63.0,68.0
43,0,0.08214664123755033,False,43.0,146.0,21.0,63.0,0.0,841.0,140.0,447.0,97.0,60.0,63.0
44,0,0.07710660551569642,False,44.0,146.0,21.0,63.0,0.0,848.0,150.0,457.0,96.0,64.0,60.0
45,0,0.08315119224210134,False,45.0,146.0,21.0,63.0,0.0,872.0,145.0,462.0,101.0,58.0,64.0
46,0,0.07328303010121193,False,46.0,146.0,21.0,63.0,0.0,881.0,153.0,474.0,101.0,63.0,58.0
47,0,0.08058381012926469,False,47.0,146.0,21.0,63.0,0.0,902.0,131.0,496.0,96.0,68.0,63.0
48,0,0.08825543143724962,False,48.0,146.0,21.0,63.0,0.0,919.0,148.0,499.0,91.0,68.0,68.0
49,0,0.08799054480872663,False,49.0,146.0,21.0,63.0,0.0,944.0,140.0,507.0,99.0,55.0,68.0
50,0,0.06699802722529995,False,50.0,146.0,21.0,63.0,0.0,953.0,152.0,515.0,97.0,65.0,55.0
51,0,0.08255317914408823,False,51.0,146.0,21.0,63.0,0.0,971.0,143.0,524.0,98.0,62.0,65.0
52,0,0.07730123411941593,False,52.0,146.0,21.0,63.0,0.0,976.0,137.0,550.0,93.0,68.0,62.0
53,0,0.08667935599753782,False,53.0,146.0,21.0,63.0,0.0,995.0,134.0,553.0,99.0,57.0,68.0
54,0,0.06898064057154966,False,54.0,146.0,21.0,63.0,0.0,996.0,149.0,558.0,93.0,69.0,57.0
55,0,0.08759119668210577,False,55.0,146.0,21.0,63.0,0.0,1034.0,139.0,568.0,102.0,54.0,69.0
56,0,0.06346380891835438,False,56.0,146.0,21.0,63.0,0.0,1037.0,157.0,570.0,92.0,73.0,54.0
57,0,0.09314574314574314,False,57.0,146.0,21.0,63.0,0.0,1068.0,141.0,586.0,93.0,62.0,73.0
58,0,0.0753410730683458,False,58.0,146.0,21.0,63.0,0.0,1094.0,162.0,585.0,93.0,63.0,62.0
59,0,0.07639860139860141,False,59.0,146.0,21.0,63.0,0.0,1115.0,142.0,605.0,94.0,62.0,63.0
60,0,0.07455965751420296,False,60.0,146.0,21.0,63.0,0.0,1134.0,161.0,606.0,96.0,61.0,62.0
61,0,0.07229689502416775,False,61.0,146.0,21.0,63.0,0.0,1163.0,141.0,626.0,96.0,63.0,61.0
62,0,0.07529932189023099,False,62.0,146.0,21.0,63.0,0.0,1167.0,152.0,635.0,96.0,63.0,63.0
63,0,0.07451790633608815,False,63.0,146.0,21.0,63.0,0.0,1208.0,135.0,652.0,95.0,64.0,63.0
64,0,0.07605223059768515,False,64.0,146.0,21.0,63.0,0.0,1207.0,147.0,660.0,97.0,61.0,64.0
65,0,0.07062810926447291,False,65.0,146.0,21.0,63.0,0.0,1235.0,133.0,674.0,91.0,69.0,61.0
66,0,0.0833000333000333,False,66.0,146.0,21.0,63.0,0.0,1242.0,145.0,682.0,98.0,56.0,69.0
67,0,0.061751253796708344,False,67.0,146.0,21.0,63.0,0.0,1276.0,122.0,705.0,93.0,68.0,56.0
68,0,0.08085185017003199,False,68.0,146.0,21.0,63.0,0.0,1282.0,151.0,696.0,89.0,67.0,68.0
69,0,0.07884072997709361,False,69.0,146.0,21.0,63.0,0.0,1306.0,138.0,709.0,90.0,62.0,67.0
70,0,0.07071880140061958,False,70.0,146.0,21.0,63.0,0.0,1315.0,149.0,718.0,95.0,58.0,62.0
71,0,0.06394577644577645,False,71.0,146.0,21.0,63.0,0.0,1339.0,147.0,720.0,94.0,64.0,58.0
72,0,0.07339011998102907,False,72.0,146.0,21.0,63.0,0.0,1338.0,159.0,728.0,94.0,63.0,64.0
73,0,0.0711935791481246,False,73.0,146.0,21.0,63.0,0.0,1371.0,144.0,743.0,96.0,61.0,63.0
74,0,0.06768786768786769,False,74.0,146.0,21.0,63.0,0.0,1370.0,142.0,765.0,94.0,65.0,61.0
75,0,0.07374569874569874,False,75.0,146.0,21.0,63.0,0.0,1398.0,142.0,765.0,98.0,59.0,65.0
76,0,0.06381131494767858,False,76.0,146.0,21.0,63.0,0.0,1409.0,148.0,779.0,96.0,65.0,59.0
77,0,0.07320268115722661,False,77.0,146.0,21.0,63.0,0.0,1406.0,137.0,790.0,92.0,67.0,65.0
78,0,0.07605942037760219,False,78.0,146.0,21.0,63.0,0.0,1432.0,158.0,789.0,89.0,66.0,67.0
79,0,0.07390261253897618,False,79.0,146.0,21.0,63.0,0.0,1475.0,141.0,806.0,103.0,49.0,66.0
80,0,0.04630924630924631,False,80.0,146.0,21.0,63.0,0.0,1489.0,154.0,813.0,92.0,74.0,49.0
81,0,0.0856209447118538,False,81.0,146.0,21.0,63.0,0.0,1519.0,142.0,825.0,95.0,60.0,74.0
82,0,0.06296165955256863,False,82.0,146.0,21.0,63.0,0.0,1537.0,151.0,836.0,94.0,64.0,60.0
83,0,0.06864864933046752,False,83.0,146.0,21.0,63.0,0.0,1567.0,132.0,855.0,92.0,65.0,64.0
84,0,0.07024919524919523,False,84.0,146.0,21.0,63.0,0.0,1569.0,151.0,856.0,94.0,61.0,65.0
85,0,0.06327750532295986,False,85.0,146.0,21.0,63.0,0.0,1603.0,138.0,869.0,96.0,61.0,61.0
86,0,0.06325101666010757,False,86.0,146.0,21.0,63.0,0.0,1600.0,153.0,874.0,98.0,61.0,61.0
87,0,0.06262853308307853,False,87.0,146.0,21.0,63.0,0.0,1635.0,145.0,882.0,96.0,65.0,61.0
88,0,0.06859365382092654,False,88.0,146.0,21.0,63.0,0.0,1648.0,154.0,893.0,89.0,70.0,65.0
89,0,0.07607985448894539,False,89.0,146.0,21.0,63.0,0.0,1680.0,141.0,906.0,93.0,59.0,70.0
90,0,0.058513582377218744,False,90.0,146.0,21.0,63.0,0.0,1677.0,155.0,912.0,92.0,64.0,59.0
91,0,0.06588058406240224,False,91.0,146.0,21.0,63.0,0.0,1714.0,144.0,923.0,96.0,59.0,64.0
92,0,0.05795732045732046,False,92.0,146.0,21.0,63.0,0.0,1705.0,157.0,930.0,99.0,60.0,59.0
93,0,0.05873671782762691,False,93.0,146.0,21.0,63.0,0.0,1733.0,137.0,950.0,89.0,73.0,60.0
94,0,0.07927892814256451,False,94.0,146.0,21.0,63.0,0.0,1748.0,152.0,955.0,92.0,60.0,73.0
95,0,0.058061256924893286,False,95.0,146.0,21.0,63.0,0.0,1778.0,140.0,967.0,93.0,62.0,60.0
96,0,0.060997462133825765,False,96.0,146.0,21.0,63.0,0.0,1787.0,151.0,976.0,94.0,62.0,62.0
97,0,0.06053391053391053,False,97.0,146.0,21.0,63.0,0.0,1808.0,135.0,992.0,97.0,60.0,62.0
98,0,0.05710766506221051,False,98.0,146.0,21.0,63.0,0.0,1820.0,145.0,1002.0,103.0,57.0,60.0
99,0,0.05168354372899827,False,99.0,146.0,21.0,63.0,0.0,1841.0,135.0,1012.0,90.0,76.0,57.0
100,0,0.0815906315906316,False,100.0,146.0,21.0,63.0,0.0,1868.0,145.0,1022.0,95.0,58.0,76.0
101,0,0.05256889575071394,False,101.0,146.0,21.0,63.0,0.0,1890.0,137.0,1030.0,96.0,62.0,58.0
102,0,0.05863997113997114,False,102.0,146.0,21.0,63.0,0.0,1895.0,145.0,1042.0,93.0,66.0,62.0
103,0,0.0644594042321315,False,103.0,146.0,21.0,63.0,0.0,1928.0,137.0,1050.0,91.0,65.0,66.0
104,0,0.0629780572962391,False,104.0,146.0,21.0,63.0,0.0,1924.0,155.0,1052.0,95.0,59.0,65.0
105,0,0.05288474152110516,False,105.0,146.0,21.0,63.0,0.0,1962.0,156.0,1051.0,93.0,65.0,59.0
106,0,0.06199797677070404,False,106.0,146.0,21.0,63.0,0.0,1966.0,151.0,1076.0,89.0,67.0,65.0
107,0,0.06461631802540893,False,107.0,146.0,21.0,63.0,0.0,2008.0,142.0,1085.0,94.0,58.0,67.0
108,0,0.05017167176258086,False,108.0,146.0,21.0,63.0,0.0,2007.0,154.0,1093.0,94.0,63.0,58.0
109,0,0.05761813943632126,False,109.0,146.0,21.0,63.0,0.0,2034.0,145.0,1102.0,93.0,64.0,63.0
110,0,0.0590067760522306,False,110.0,146.0,21.0,63.0,0.0,2044.0,155.0,1112.0,97.0,59.0,64.0
111,0,0.05046102887011978,False,111.0,146.0,21.0,63.0,0.0,2070.0,140.0,1127.0,96.0,64.0,59.0
112,0,0.05814589450953087,False,112.0,146.0,21.0,63.0,0.0,2080.0,157.0,1130.0,89.0,70.0,64.0
113,0,0.06729886275340821,False,113.0,146.0,21.0,63.0,0.0,2101.0,135.0,1152.0,97.0,55.0,70.0
114,0,0.04323769664678755,False,114.0,146.0,21.0,63.0,0.0,2109.0,156.0,1151.0,93.0,67.0,55.0
115,0,0.061570121797394524,False,115.0,146.0,21.0,63.0,0.0,2149.0,136.0,1171.0,95.0,61.0,67.0
116,0,0.05190062462789736,False,116.0,146.0,21.0,63.0,0.0,2161.0,156.0,1171.0,98.0,60.0,61.0
117,0,0.04987626010353283,False,117.0,146.0,21.0,63.0,0.0,2184.0,145.0,1182.0,102.0,59.0,60.0
118,0,0.04777242959061141,False,118.0,146.0,21.0,63.0,0.0,2196.0,152.0,1195.0,92.0,73.0,59.0
119,0,0.0695575888757707,False,119.0,146.0,21.0,63.0,0.0,2234.0,141.0,1206.0,98.0,57.0,73.0
120,0,0.04380316653043925,False,120.0,146.0,21.0,63.0,0.0,2248.0,156.0,1211.0,96.0,65.0,57.0
121,0,0.05590558431467522,False,121.0,146.0,21.0,63.0,0.0,2271.0,138.0,1229.0,90.0,69.0,65.0
122,0,0.06245345563527382,False,122.0,146.0,21.0,63.0,0.0,2267.0,156.0,1231.0,97.0,56.0,69.0
123,0,0.04097089778907961,False,123.0,146.0,21.0,63.0,0.0,2298.0,134.0,1253.0,93.0,67.0,56.0
124,0,0.058298771935135565,False,124.0,146.0,21.0,63.0,0.0,2315.0,157.0,1250.0,93.0,63.0,67.0
125,0,0.051446280991735545,False,125.0,146.0,21.0,63.0,0.0,2340.0,136.0,1271.0,101.0,55.0,63.0
126,0,0.03829756102483375,False,126.0,146.0,21.0,63.0,0.0,2351.0,146.0,1281.0,96.0,68.0,55.0
127,0,0.058614617705526804,False,127.0,146.0,21.0,63.0,0.0,2369.0,138.0,1289.0,93.0,66.0,68.0
128,0,0.05517512790240063,False,128.0,146.0,21.0,63.0,0.0,2388.0,148.0,1299.0,99.0,57.0,66.0
129,0,0.040187464051100415,False,129.0,146.0,21.0,63.0,0.0,2421.0,137.0,1310.0,96.0,66.0,57.0
130,0,0.054446689673962406,False,130.0,146.0,21.0,63.0,0.0,2420.0,155.0,1312.0,92.0,67.0,66.0
131,0,0.05562341698705335,False,131.0,146.0,21.0,63.0,0.0,2446.0,144.0,1323.0,94.0,61.0,67.0
132,0,0.04587445382899929,False,132.0,146.0,21.0,63.0,0.0,2446.0,147.0,1340.0,96.0,61.0,61.0
133,0,0.0454506352233625,False,133.0,146.0,21.0,63.0,0.0,2468.0,143.0,1344.0,92.0,67.0,61.0
134,0,0.05481551277005822,False,134.0,146.0,21.0,63.0,0.0,2477.0,156.0,1351.0,92.0,63.0,67.0
135,0,0.04792328883237975,False,135.0,146.0,21.0,63.0,0.0,2508.0,142.0,1365.0,96.0,59.0,63.0
136,0,0.04132244018607655,False,136.0,146.0,21.0,63.0,0.0,2525.0,163.0,1364.0,97.0,62.0,59.0
137,0,0.045581060353787624,False,137.0,146.0,21.0,63.0,0.0,2540.0,145.0,1382.0,93.0,67.0,62.0
138,0,0.053358636313181766,False,138.0,146.0,21.0,63.0,0.0,2559.0,159.0,1388.0,102.0,54.0,67.0
139,0,0.03150523718705537,False,139.0,146.0,21.0,63.0,0.0,2611.0,139.0,1408.0,91.0,74.0,54.0
140,0,0.06319829160738252,False,140.0,146.0,21.0,63.0,0.0,2630.0,157.0,1410.0,97.0,57.0,74.0
141,0,0.0354062604062604,False,141.0,146.0,21.0,63.0,0.0,2667.0,135.0,1432.0,101.0,59.0,57.0
142,0,0.038329221283766736,False,142.0,146.0,21.0,63.0,0.0,2673.0,149.0,1438.0,98.0,66.0,59.0
143,0,0.04913571277207641,False,143.0,146.0,21.0,63.0,0.0,2680.0,141.0,1446.0,87.0,74.0,66.0
144,0,0.062085767767585946,False,144.0,146.0,21.0,63.0,0.0,2673.0,157.0,1450.0,92.0,58.0,74.0
145,0,0.03629161242797607,False,145.0,146.0,21.0,63.0,0.0,2686.0,145.0,1462.0,92.0,63.0,58.0
146,0,0.04375132443314262,False,146.0,146.0,21.0,63.0,0.0,2708.0,153.0,1474.0,90.0,65.0,63.0
147,0,0.0462901996992906,False,147.0,146.0,21.0,63.0,0.0,2748.0,141.0,1486.0,92.0,61.0,65.0
148,0,0.03999397067578886,False,148.0,146.0,21.0,63.0,0.0,2744.0,164.0,1483.0,91.0,64.0,61.0
149,0,0.04382877223786315,False,149.0,146.0,21.0,63.0,0.0,2790.0,137.0,1510.0,93.0,61.0,64.0
150,0,0.0386430488703216,False,150.0,146.0,21.0,63.0,0.0,2812.0,149.0,1518.0,93.0,63.0,61.0
151,0,0.04132761178215724,False,151.0,146.0,21.0,63.0,0.0,2840.0,146.0,1521.0,87.0,69.0,63.0
